#Altium Designer Pick and Place Locations,,,,,,,,,
#C:\Users\Steven\Dropbox\MAGE\Node\Node PCB Designs\Project Outputs for Node\Pick Place\Pick Place for Node.csv,,,,,,,,,
,,,,,,,,,
#========================================================================================================================,,,,,,,,,
#File Design Information:,,,,,,,,,
,,,,,,,,,
#Date:       07/10/17,,,,,,,,,
#Time:       14:36,,,,,,,,,
#Revision:   Not in VersionControl,,,,,,,,,
#Variant:    No variations,,,,,,,,,
#Units used: mil,,,,,,,,,
,,,,,,,,,
#Designator,Center-X(mil),Center-Y(mil),Rotation,Layer,Type,Xsize,Ysize,Value,Footprint
U27,1129.229,-178.853,252,Top,1,,,TSOP75x-TR,TSOP75x-TR
U28,-1018.692,-519.049,108,Top,1,,,TSOP75x-TR,TSOP75x-TR
U3,-448.819,-7.874,270,Top,1,,,32PG_N,32PG_N
U30,0,1123.62,360,Top,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U31,-660.448,909.028,36,Bottom,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U32,-1068.626,347.218,72,Top,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U33,-1068.626,-347.218,108,Bottom,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U34,-531.496,-740.158,144.459,Top,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U35,1177.166,-106.299,252,Bottom,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U36,0,-1123.62,180,Bottom,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U37,842.52,350.394,292.5,Top,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U38,421.26,-1027.559,216,Top,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
U39,660.448,909.028,324,Bottom,1,,,ADAI-WS2812B_V,ADAI-WS2812B_V
